Date,ts1,ts2,ts3
2019-02-25,0.6115,0.0638,0.0
2019-03-04,0.0937,0.0707,0.2549
2019-03-11,0.1865,0.0405,0.0
2019-03-18,0.1207,0.1018,0.4588
2019-03-25,0.3126,0.6232,0.2314
2019-04-01,0.0804,0.2324,0.349
2019-04-08,0.0,0.0692,0.0706
2019-04-15,0.0539,0.1037,0.0
2019-04-22,0.0,0.1147,0.0941
2019-04-29,0.0274,0.0384,0.0
2019-05-06,0.0516,0.0271,0.0
2019-05-13,0.4941,0.0058,0.1176
2019-05-20,0.1472,0.1526,0.1843
2019-05-27,0.1869,0.0289,0.4157
2019-06-03,0.0969,0.0463,0.0706
2019-06-10,0.0407,0.116,0.0235
2019-06-17,0.1179,0.1073,0.5843
2019-06-24,0.2144,0.4762,0.0
2019-07-01,0.0667,0.0096,0.0
2019-07-08,0.0,0.0427,0.3255
2019-07-15,0.3835,0.0292,0.0
2019-07-22,0.0256,0.0541,0.0
2019-07-29,0.319,0.0311,0.0706
2019-08-05,0.0937,0.1504,0.0
2019-08-12,0.0804,0.0214,0.0
2019-08-19,0.0795,0.0503,0.0
2019-08-26,0.1065,0.0581,0.1412
2019-09-02,0.2669,0.0329,0.0
2019-09-09,0.106,0.035,0.0
2019-09-16,0.1335,0.0588,0.4627
2019-09-23,0.1074,0.0757,0.0
2019-09-30,0.0274,0.0039,0.0
2019-10-07,0.0667,0.0079,0.0
2019-10-14,0.3071,0.0118,0.0471
2019-10-21,0.0539,0.0461,0.0706
2019-10-28,0.0137,0.0813,0.0471
2019-11-04,0.0937,0.0099,0.0
2019-11-11,0.2006,0.0524,0.1373
2019-11-18,0.2948,0.002,0.0
2019-11-25,0.0137,0.0177,0.0235
2019-12-02,0.0672,0.0,0.0
2019-12-09,0.1339,0.0658,0.0
2019-12-16,0.0398,0.025,0.1412
2019-12-23,0.0,0.0,0.0
2019-12-30,0.0,0.0,0.0
2020-01-06,0.0402,0.0312,0.2314
2020-01-13,0.186,0.2988,0.1373
2020-01-20,0.0137,0.0311,0.0
2020-01-27,0.1335,0.002,0.2353
2020-02-03,0.0247,0.0235,0.2314
2020-02-10,0.0,0.0853,0.2314
2020-02-17,0.1344,0.0738,0.3765
2020-02-24,0.0535,0.0216,0.0235
2020-03-02,0.0384,0.0509,0.0706
2020-03-09,0.08,0.0289,0.0
2020-03-16,0.1211,0.1776,0.1647
2020-03-23,0.1472,0.0078,0.0
2020-03-30,0.0782,0.0116,0.0
2020-04-06,0.027,0.0814,0.0706
2020-04-13,0.0,0.0482,0.0
2020-04-20,0.0,0.0561,0.1843
2020-04-27,0.1878,0.0951,0.0706
2020-05-04,0.3323,0.0197,0.0
2020-05-11,0.0,0.002,0.1882
2020-05-18,0.0137,0.0488,0.0
2020-05-25,0.0672,0.018,0.0
2020-06-01,0.0,0.0331,0.0471
2020-06-08,0.0,0.0331,0.1176
2020-06-15,0.0,0.0137,0.1176
2020-06-22,0.3405,0.0195,0.4863
2020-06-29,0.0937,0.0097,0.0
2020-07-06,0.0137,0.0275,0.0
2020-07-13,0.0,0.0334,0.0941
2020-07-20,0.0407,0.0541,0.0
2020-07-27,0.0137,0.0217,0.0941
2020-08-03,0.0402,0.0349,0.1882
2020-08-10,0.0274,0.002,0.0471
2020-08-17,0.0,0.002,0.0
2020-08-24,0.0672,0.002,0.3686
2020-08-31,0.075,0.1014,0.0
2020-09-07,0.1613,0.0374,0.0471
2020-09-14,0.0,0.066,0.0941
2020-09-21,0.0,0.0178,0.0
2020-09-28,0.2934,0.2324,0.3216
